                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0482,                 4.2134,                 1.8387,                0.00668,                0.12451,                0.00414,                0.00154,                 1.6844,                 4.0366,                 1.7338,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                  1.972,                  4.151,                 1.6983,                0.00682,                0.13946,                 0.0051,                0.00189,                  1.614,                  3.961,                 1.6353,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                 1.8207,                 4.0445,                  1.525,                0.00764,                0.16029,                0.00908,                0.00476,                 1.5601,                 3.8547,                 1.4874,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.7357,                 3.8026,                 1.5367,                0.00968,                0.19289,                0.03629,                0.01865,                 1.5453,                 3.7736,                 1.4357,             0.00012933,             0.00012933,             0.00012933
                      5,                  1.782,                 3.4484,                 1.4925,                0.00951,                0.17206,                0.05174,                0.02543,                 1.4668,                 3.7312,                  1.399,             0.00016114,             0.00016114,             0.00016114
                      6,                 1.7058,                 3.0789,                  1.417,                0.01243,                0.21054,                0.06553,                0.03579,                 1.4461,                 3.6983,                 1.4089,             0.00019146,             0.00019146,             0.00019146
                      7,                 1.6326,                 2.9096,                 1.3339,                0.01505,                  0.225,                 0.0387,                0.02012,                 1.4457,                 3.5781,                 1.3862,              0.0002203,              0.0002203,              0.0002203
                      8,                 1.6742,                 2.7064,                 1.3363,                0.02677,                0.32451,                0.13433,                0.07587,                 1.4613,                 3.5064,                 1.3923,             0.00024765,             0.00024765,             0.00024765
                      9,                 1.6314,                 2.4567,                  1.318,                 0.0345,                0.41593,                0.15483,                0.07834,                 1.4724,                 3.5518,                 1.4801,             0.00027352,             0.00027352,             0.00027352
                     10,                 1.5938,                 2.4847,                 1.2973,                0.02814,                0.36029,                0.09912,                0.05005,                 1.4924,                 3.6559,                 1.5575,              0.0002979,              0.0002979,              0.0002979
                     11,                   1.57,                 2.1527,                 1.3282,                0.04082,                0.55539,                0.17095,                0.08326,                 1.5002,                 3.4771,                 1.5176,              0.0003208,              0.0003208,              0.0003208
