                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9281,                 4.2009,                 1.6944,                0.00312,                0.10561,                0.00394,                0.00234,                 1.5941,                 4.0837,                 1.5378,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                  1.855,                 4.1946,                 1.5665,                0.00365,                0.12894,                0.00617,                0.00302,                 1.4889,                 4.0432,                 1.4496,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                 1.6157,                 4.0465,                 1.4373,                0.00367,                0.14407,                0.01346,                 0.0104,                 1.4804,                 3.9026,                 1.2883,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.5187,                   3.84,                 1.2649,                0.00399,                0.13304,                0.01916,                0.01259,                 1.4983,                 3.8284,                 1.2687,             0.00012933,             0.00012933,             0.00012933
                      5,                  1.462,                 3.5012,                 1.2838,                0.00532,                0.13233,                0.01847,                0.01317,                 1.4774,                 3.7886,                 1.2735,             0.00016114,             0.00016114,             0.00016114
                      6,                 1.4791,                 3.3236,                 1.1749,                0.00566,                  0.137,                0.01205,                 0.0087,                 1.4471,                 3.7684,                 1.2716,             0.00019146,             0.00019146,             0.00019146
                      7,                 1.4377,                 3.1769,                 1.1665,                0.00695,                0.17595,                0.02079,                0.01402,                 1.4463,                  3.696,                 1.2768,              0.0002203,              0.0002203,              0.0002203
                      8,                 1.4463,                  2.863,                 1.1753,                0.01412,                0.25543,                0.05999,                0.03284,                 1.4622,                 3.6417,                 1.2913,             0.00024765,             0.00024765,             0.00024765
                      9,                 1.4449,                 2.6339,                 1.1856,                0.01783,                0.31358,                0.09583,                0.05521,                  1.451,                 3.5483,                 1.2986,             0.00027352,             0.00027352,             0.00027352
                     10,                  1.415,                 2.4873,                 1.1381,                0.01973,                0.36062,                0.11233,                0.06315,                 1.4392,                 3.5137,                 1.2952,              0.0002979,              0.0002979,              0.0002979
                     11,                 1.4237,                 2.4541,                 1.1907,                0.02179,                0.41919,                0.13574,                0.07978,                 1.5029,                 3.4694,                 1.3402,              0.0003208,              0.0003208,              0.0003208
                     12,                 1.4471,                 2.2853,                 1.1676,                0.02528,                0.48936,                0.17075,                0.10201,                 1.5304,                  3.411,                 1.3494,             0.00034221,             0.00034221,             0.00034221
                     13,                 1.4839,                 2.1882,                 1.1843,                0.32995,                0.20893,                0.22656,                0.12406,                 1.5336,                 3.1932,                 1.3138,             0.00036214,             0.00036214,             0.00036214
                     14,                 1.4391,                 2.1524,                 1.1702,                0.40381,                0.13216,                0.22788,                0.13106,                 1.5203,                 3.1321,                 1.3015,             0.00038058,             0.00038058,             0.00038058
                     15,                 1.4669,                  2.093,                 1.1786,                0.42049,                0.16318,                0.21792,                0.12556,                 1.5517,                 3.0934,                  1.336,             0.00039754,             0.00039754,             0.00039754
                     16,                 1.4006,                 2.1398,                 1.1349,                0.30319,                 0.2044,                0.20027,                0.11397,                 1.5497,                 2.9874,                 1.3169,             0.00041301,             0.00041301,             0.00041301
                     17,                  1.363,                 1.8778,                 1.1191,                0.34527,                0.31187,                0.24944,                0.13357,                 1.5423,                 2.7019,                 1.2856,               0.000427,               0.000427,               0.000427
                     18,                 1.4028,                 1.8723,                 1.1241,                 0.2662,                0.29806,                0.25686,                0.13641,                 1.5535,                 2.5137,                  1.292,              0.0004395,              0.0004395,              0.0004395
                     19,                 1.3769,                 1.7864,                 1.1356,                 0.3156,                0.35603,                0.26718,                0.14364,                  1.554,                 2.3965,                 1.3044,             0.00045052,             0.00045052,             0.00045052
                     20,                 1.3394,                 1.7759,                 1.1268,                0.29626,                0.39967,                0.27026,                0.14577,                 1.5673,                 2.2927,                 1.3256,             0.00046005,             0.00046005,             0.00046005
                     21,                 1.3367,                 1.7259,                  1.144,                0.30421,                0.43768,                0.27614,                0.15265,                 1.6062,                 2.2427,                 1.3563,              0.0004681,              0.0004681,              0.0004681
                     22,                 1.3682,                 1.7523,                 1.1577,                0.30455,                0.43566,                0.32088,                0.16845,                 1.5613,                 2.1813,                  1.339,             0.00047466,             0.00047466,             0.00047466
                     23,                  1.393,                 1.6882,                 1.1692,                0.33479,                0.44666,                0.33037,                0.17741,                 1.5429,                 2.1537,                 1.3357,             0.00047974,             0.00047974,             0.00047974
                     24,                 1.3318,                 1.6529,                 1.1294,                0.30258,                 0.4607,                 0.3156,                   0.17,                 1.5592,                 2.1645,                 1.3484,             0.00048333,             0.00048333,             0.00048333
                     25,                   1.34,                 1.7258,                 1.1267,                0.28627,                0.39188,                0.32046,                0.17827,                 1.5494,                 2.1971,                 1.3367,             0.00048544,             0.00048544,             0.00048544
                     26,                 1.2942,                 1.6546,                 1.1165,                0.34778,                0.40366,                 0.3531,                0.19403,                 1.5223,                  2.276,                 1.3135,             0.00048606,             0.00048606,             0.00048606
                     27,                 1.3689,                  1.792,                 1.1303,                0.38324,                0.39484,                0.36375,                0.20155,                 1.5046,                 2.3109,                 1.2986,              0.0004852,              0.0004852,              0.0004852
                     28,                 1.3636,                  1.634,                 1.1251,                0.39457,                0.42801,                0.35068,                 0.1822,                 1.5398,                 2.2963,                 1.3008,             0.00048285,             0.00048285,             0.00048285
                     29,                 1.2739,                 1.4492,                 1.1113,                0.39457,                0.42801,                0.35068,                 0.1822,                 1.5398,                 2.2963,                 1.3008,             0.00047902,             0.00047902,             0.00047902
                     30,                  1.288,                  1.478,                 1.1079,                0.38579,                0.40014,                0.32194,                0.16455,                 1.5809,                 2.2611,                 1.3244,              0.0004737,              0.0004737,              0.0004737
                     31,                 1.3111,                 1.6428,                 1.0834,                   0.39,                0.41024,                0.31633,                0.16649,                 1.5494,                 2.2181,                 1.3201,              0.0004669,              0.0004669,              0.0004669
                     32,                 1.2823,                 1.4987,                 1.1078,                0.40684,                0.40713,                0.32917,                0.17691,                 1.5216,                 2.1748,                 1.3198,             0.00045861,             0.00045861,             0.00045861
                     33,                 1.2956,                 1.4994,                 1.0973,                0.40684,                0.40713,                0.32917,                0.17691,                 1.5216,                 2.1748,                 1.3198,             0.00044884,             0.00044884,             0.00044884
                     34,                 1.2734,                 1.3598,                 1.1116,                 0.4289,                0.44154,                0.32747,                0.18211,                 1.5023,                 2.1502,                 1.3126,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.2956,                  1.395,                 1.0897,                0.35564,                0.41444,                0.33429,                0.18892,                 1.4984,                 2.1382,                 1.3046,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.2731,                  1.489,                 1.0766,                0.44237,                0.44016,                 0.3433,                0.19167,                 1.4953,                 2.1306,                  1.294,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.2546,                 1.4312,                 1.0982,                0.44237,                0.44016,                 0.3433,                0.19167,                 1.4953,                 2.1306,                  1.294,               0.000359,               0.000359,               0.000359
                     38,                 1.2794,                 1.5452,                  1.081,                0.47537,                 0.4543,                0.34314,                0.19511,                 1.4888,                 2.1135,                 1.2845,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.2772,                 1.5154,                 1.0977,                0.40695,                0.44085,                0.35129,                 0.1965,                 1.5056,                 2.1066,                 1.2963,              0.0003095,              0.0003095,              0.0003095
                     40,                  1.228,                 1.3587,                 1.0975,                0.42687,                 0.4741,                0.36121,                0.20317,                 1.4994,                 2.0981,                 1.2941,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.2749,                 1.6203,                 1.1523,                0.42687,                 0.4741,                0.36121,                0.20317,                 1.4994,                 2.0981,                 1.2941,                0.00026,                0.00026,                0.00026
                     42,                  1.258,                 1.5115,                 1.1548,                0.45593,                0.47079,                0.37854,                0.21916,                 1.4782,                 2.0762,                 1.2882,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.2579,                 1.5065,                 1.1318,                0.44036,                0.48877,                0.39078,                 0.2243,                 1.4649,                 2.0378,                 1.2957,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.2763,                 1.5313,                  1.131,                 0.4582,                0.46921,                0.39497,                0.22768,                 1.4619,                 2.0095,                 1.3083,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.2524,                 1.4538,                 1.0891,                 0.4582,                0.46921,                0.39497,                0.22768,                 1.4619,                 2.0095,                 1.3083,               0.000161,               0.000161,               0.000161
