                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9119,                 4.2243,                 1.6723,                0.00281,                0.10151,                0.00341,                0.00182,                 1.6098,                 4.0772,                 1.5313,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.7041,                  4.115,                 1.5609,                0.00406,                0.13304,                0.00619,                0.00287,                 1.5225,                 3.9801,                 1.3949,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                   1.67,                 4.0616,                 1.4338,                0.00402,                0.14817,                0.00643,                0.00379,                 1.4809,                 3.8604,                 1.2704,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.5247,                 3.8438,                 1.2814,                0.00518,                0.16355,                0.01008,                0.00637,                 1.4998,                 3.8086,                 1.2606,             0.00012933,             0.00012933,             0.00012933
                      5,                 1.4801,                  3.574,                 1.2471,                0.00594,                0.17079,                0.01465,                0.00705,                 1.4881,                 3.7844,                 1.2842,             0.00016114,             0.00016114,             0.00016114
                      6,                 1.4114,                 3.2519,                 1.1974,                0.00684,                0.18106,                0.01679,                0.00925,                 1.5078,                 3.7529,                 1.3173,             0.00019146,             0.00019146,             0.00019146
                      7,                 1.3988,                 3.0519,                 1.1635,                 0.0142,                0.29704,                0.05018,                0.02393,                  1.519,                 3.6879,                 1.3327,              0.0002203,              0.0002203,              0.0002203
                      8,                 1.4989,                 2.9977,                 1.1887,                0.01999,                0.37882,                0.09903,                0.04299,                 1.5061,                  3.628,                  1.328,             0.00024765,             0.00024765,             0.00024765
                      9,                   1.44,                 2.7469,                  1.188,                0.02147,                0.39196,                0.10882,                0.05172,                 1.5272,                 3.5136,                 1.3523,             0.00027352,             0.00027352,             0.00027352
                     10,                 1.4712,                 2.5649,                  1.164,                0.02313,                0.42029,                0.12171,                0.05933,                 1.5531,                 3.4448,                 1.3738,              0.0002979,              0.0002979,              0.0002979
                     11,                 1.5126,                 2.5971,                 1.2322,                 0.8497,                0.11728,                0.16746,                0.08674,                 1.6158,                 3.3086,                 1.4071,              0.0003208,              0.0003208,              0.0003208
                     12,                 1.4586,                 2.3652,                 1.1797,                0.86215,                0.10798,                0.18532,                0.09593,                 1.5789,                  3.207,                  1.364,             0.00034221,             0.00034221,             0.00034221
                     13,                 1.4701,                 2.2952,                 1.2341,                0.58359,                0.12346,                0.18098,                0.09047,                 1.6043,                 3.0795,                 1.3499,             0.00036214,             0.00036214,             0.00036214
                     14,                 1.4255,                 2.1892,                 1.1821,                0.58019,                0.12346,                0.18996,                0.08289,                 1.5881,                 3.0581,                 1.3342,             0.00038058,             0.00038058,             0.00038058
                     15,                 1.4123,                 2.2458,                 1.1753,                0.23991,                0.14837,                0.18568,                0.08725,                 1.6045,                 3.0233,                 1.3407,             0.00039754,             0.00039754,             0.00039754
                     16,                 1.4236,                 2.0228,                 1.1682,                 0.2323,                0.18917,                0.19705,                0.08956,                 1.6779,                 2.9987,                 1.3714,             0.00041301,             0.00041301,             0.00041301
                     17,                 1.4644,                 1.9569,                 1.2015,                0.26398,                0.30006,                0.22459,                0.11263,                 1.6596,                 2.7178,                 1.3206,               0.000427,               0.000427,               0.000427
                     18,                 1.3956,                 1.9262,                 1.1493,                0.27448,                0.39311,                0.24394,                0.12382,                 1.6471,                 2.5483,                 1.3079,              0.0004395,              0.0004395,              0.0004395
