                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2337,                 1.5754,                  1.132,                0.36006,                0.58716,                0.37457,                0.21656,                 1.4595,                 1.8881,                  1.302,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.1845,                 1.5136,                 1.1079,                0.33731,                  0.567,                0.37806,                0.21093,                  1.488,                 1.9079,                 1.3129,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                 1.1723,                 1.3907,                 1.0681,                0.31653,                0.50773,                0.35434,                0.20116,                 1.4752,                 1.9245,                 1.3053,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.1721,                 1.3526,                 1.1101,                0.32041,                0.52883,                0.34691,                0.19698,                 1.4982,                 1.9943,                  1.337,             0.00012933,             0.00012933,             0.00012933
                      5,                 1.1755,                 1.3401,                  1.088,                0.30219,                0.50097,                0.33916,                0.18419,                 1.5109,                 2.0119,                 1.3302,             0.00016114,             0.00016114,             0.00016114
                      6,                 1.2161,                 1.4356,                 1.1061,                 0.3137,                0.47738,                0.33247,                0.17896,                 1.5452,                 2.0533,                 1.3498,             0.00019146,             0.00019146,             0.00019146
                      7,                 1.1808,                 1.3611,                 1.0938,                0.33081,                0.44758,                0.33394,                 0.1753,                  1.554,                  2.157,                 1.3571,              0.0002203,              0.0002203,              0.0002203
                      8,                 1.1482,                 1.3424,                 1.0786,                0.34267,                0.43556,                0.32488,                0.18091,                 1.5266,                 2.1934,                 1.3464,             0.00024765,             0.00024765,             0.00024765
                      9,                 1.1698,                 1.4129,                 1.1397,                0.33271,                0.39954,                0.31361,                0.17963,                 1.5188,                 2.2744,                 1.3474,             0.00027352,             0.00027352,             0.00027352
                     10,                 1.1633,                 1.3839,                 1.1017,                0.35745,                0.39665,                0.32231,                0.17516,                 1.5522,                 2.2902,                 1.3538,              0.0002979,              0.0002979,              0.0002979
